Mã_tin,Tiêu_đề,Đường,Quận,Thành_phố,Diện_tích,Giá,Pháp_lý,Số_phòng_ngủ,Số_phòng_toilet,Ngày_đăng,Mô_tả,chi_tiet_link
120891,CƠ HỘI HIẾM CÓ! BÁN GẤP NHÀ MẶT TIỀN ĐƯỜNG HÙNG VƯƠNG – ĐẦU TƯ NGAY KẺO LỠ!,1,Nhơn Trạch,Đồng Nai,70 m²,800 triệu,Sổ đỏ/ Sổ hồng,,,30/09/2024,- Thông tin mô tả:,https://batdongsan.vn/co-hoi-hiem-co-ban-gap-nha-mat-tien-duong-hung-vuong-dau-tu-ngay-keo-lo-r120891
120895,"NHÀ PHÂN LÔ DƯƠNG QUANG HÀM,QUAN HOA-10 M RA OTO TRÁNH NHAU- NHÀ CHỦ TỰ XÂY NÊN CHẮC CHẮN , KIÊN",Dương Quảng Hàm,Cầu Giấy,Hà Nội,46 m²,9 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,30/09/2024,NHÀ ĐANG SỬA CHỮA,https://batdongsan.vn/nha-phan-lo-duong-quang-hamquan-hoa-10-m-ra-oto-tranh-nhau-nha-chu-tu-xay-nen-chac-chan-kien-r120895
120897,Chính chủ cần  bán căn nhà 2 mặt tiền,Lý Bôn,Thái Bình,Thái Bình,70 m²,3 tỷ 350 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,30/09/2024,"EM CÒN RẤT NHIỀU NHÀ ĐẸP TẠI THÀNH PHỐ THÁI BÌNH, A/C CÓ NHU CẦU LIÊN HỆ VỚI EM NHÉ.",https://batdongsan.vn/chinh-chu-can-ban-can-nha-2-mat-tien-r120897
120898,PHÂN LÔ – PHÙNG CHÍ KIÊN 50m2 – 8 TẦNG THANG MÁY-MT 4.4m – Ô TÔ –NGÕ THÔNG- KINH DOANH-GIÁ CHÀO,Phùng Chí Kiên,Cầu Giấy,Hà Nội,50 m²,16 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,9 phòng,,30/09/2024,Thông tin mô tả:,https://batdongsan.vn/phan-lo-phung-chi-kien-50m2-8-tang-thang-may-mt-44m-o-to-ngo-thong-kinh-doanh-gia-chao-r120898
120903,BÁN TÒA  NHÀ 8 TẦNG TRUNG TÂM ĐỐNG ĐA THÔNG SÀN VÙA Ở VỪA KINH DOANH VỊ TRÍ ĐẸP 47 TỶ,Trần Quang Diệu,Đống Đa,Hà Nội,80 m²,47 tỷ,Sổ đỏ/ Sổ hồng,9 phòng,9 phòng,30/09/2024,TOÀ NHÀ 8 TẦNG - THÔNG SÀN - VỪA Ở KINH DOANH - VỊ TRÍ ĐẸP - GIÁ HỢP LÝ - ACE VỤT MẠNH,https://batdongsan.vn/ban-toa-nha-8-tang-trung-tam-dong-da-thong-san-vua-o-vua-kinh-doanh-vi-tri-dep-47-ty-r120903
120906,"Cần bán gấp hẻm 8m Bình Thạnh, kế bên ĐH Hutech, vị trí kinh doanh siêu tốt",Ung Văn Khiêm,Bình Thạnh,Hồ Chí Minh,56 m²,9 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,30/09/2024,"Cần bán gấp hẻm 8m kế bên đại học Hutech, vị trí kinh doanh siêu tốt.",https://batdongsan.vn/can-ban-gap-hem-8m-binh-thanh-ke-ben-dh-hutech-vi-tri-kinh-doanh-sieu-tot-r120906
120900,"Bán nhà mặt phố #Phan_Đình_giót-#Hà Đông. 80m2*5tang,mặt tiền6m.Giá nhỉnh 17ty",1,Hà Đông,Hà Nội,80 m²,17 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,12 phòng,13 phòng,30/09/2024,"Bán nhà mặt phố #Phan_Đình_giót-#Hà Đông. 80m2*5tang,mặt tiền6m.Giá nhỉnh 17 tỷ",https://batdongsan.vn/ban-nha-mat-pho-phan-dinh-giot-ha-dong-80m25tangmat-tien6mgia-nhinh-17ty-r120900
120908,"CHO THUÊ HOMESTAY KQH HOÀNG DIỆU, P5, ĐÀ LẠT",Hoàng Diệu,Đà Lạt,Lâm Đồng,,20 triệu,Sổ đỏ/ Sổ hồng,9 phòng,10 phòng,30/09/2024,"CHO THUÊ HOMESTAY KQH HOÀNG DIỆU, P5, ĐÀ LẠT.",https://batdongsan.vn/cho-thue-homestay-kqh-hoang-dieu-p5-da-lat-r120908
120910,"QUẬN 10, THÀNH THÁI - 6x16M KHU VIP ĐẶT VĂN PHÒNG, KINH DOANH SPA - Ô TÔ TRÁNH - DIỆN TÍCH CHUẨN -",Thành Thái,Quận 10,Hồ Chí Minh,96 m²,25 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,6 phòng,5 phòng,30/09/2024,"+ Trệt, lửng, 3 lầu sân thượng. Thuận tiện mở văn phòng cty, spa, vừa ở vừa kinh doanh. Tiện ích xung quanh đầy đủ.",https://batdongsan.vn/quan-10-thanh-thai-6x16m-khu-vip-dat-van-phong-kinh-doanh-spa-o-to-tranh-dien-tich-chuan-r120910
120887,Bán nhà Đội Cấn 45m2  mặt tiền 5m nhỉnh 8 tỷ Ba Đình,Đội Cấn,Ba Đình,Hà Nội,45 m²,8 tỷ,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,30/09/2024,TRUNG TÂM BA ĐÌNH - NHÀ MỚI ĐẸP THOÁNG SÁNG - CÁCH PHỐ ĐỘI CẤN 80M - KHÁCH MUA VỀ Ở NGAY - GIAO THÔNG THUẬN TIỆN - SỔ ĐẸP MÊ LY,https://batdongsan.vn/ban-nha-doi-can-45m2-mat-tien-5m-nhinh-8-ty-ba-dinh-r120887
120911,NHÀ ĐẸP CÁCH 20M RA HẺM 463 CÁCH MẠNG THÁNG 8 - QUẬN 10 - 4 TẦNG BTCT -  P13,Cách Mạng Tháng Tám,Quận 10,Hồ Chí Minh,33 m²,4 tỷ 950 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,30/09/2024,"Mô tả:,",https://batdongsan.vn/nha-dep-cach-20m-ra-hem-463-cach-mang-thang-8-quan-10-4-tang-btct-p13-r120911
120912,HÀNG HÓT CẦU GIẤY - PHÂN LÔ Ô TÔ TRÁNH - MẶT NGÕ THÔNG - 10M RA PHỐ - KINH DOANH ĐỈNH - VĂN PHÒNG,Nguyễn Khang,Cầu Giấy,Hà Nội,70 m²,19 tỷ 100 triệu,Sổ đỏ/ Sổ hồng,5 phòng,6 phòng,30/09/2024,HÀNG HÓT CẦU GIẤY - PHÂN LÔ Ô TÔ TRÁNH - MẶT NGÕ THÔNG - 10M RA PHỐ - KINH DOANH ĐỈNH - VĂN PHÒNG - NHÀ DÂN XÂY KIÊN CỐ! Giá 1x Tỷ,https://batdongsan.vn/hang-hot-cau-giay-phan-lo-o-to-tranh-mat-ngo-thong-10m-ra-pho-kinh-doanh-dinh-van-phong-r120912
120913,"Nhà HXH  quận 10- Trần Minh Quyền - Q!0 - 8,7 tỷ  - 54m2",Trần Minh Quyền,Quận 10,Hồ Chí Minh,54 m²,8 tỷ 700 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,30/09/2024,Nhà giá tốt quận 10- Trần Minh Quyền,https://batdongsan.vn/nha-hxh-quan-10-tran-minh-quyen-q0-87-ty-54m2-r120913
120915,BÁN MẶT TIỀN (8X36) MT Nguyễn Ảnh Thủ TCH Q12. 2 SHR. GIÁ 25 TỶ,Nguyễn Ảnh Thủ,Quận 12,Hồ Chí Minh,288 m²,25 tỷ,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,30/09/2024,Sản Phẩm mới chưa qua kinh doanh,https://batdongsan.vn/ban-mat-tien-8x36-mt-nguyen-anh-thu-tch-q12-2-shr-gia-25-ty-r120915
120916,Bán gấp nhà Mặt tiển Nguyễn Oanh P17 Gò Vấp 150m2 chỉ 18 tỉ,Nguyễn Oanh,Gò Vấp,Hồ Chí Minh,150 m²,18 tỷ,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,30/09/2024,"# Mặt tiền kinh doanh đa ngành nghề, gần đường lớn 32m Dương Quảng Hàm, view công viên mát mẻ quanh năm.",https://batdongsan.vn/ban-gap-nha-mat-tien-nguyen-oanh-p17-go-vap-150m2-chi-18-ti-r120916
120917,"DUY NHẤT 1 CĂN MẶT TIỀN VÕ THỊ SÁU 5mx12m, GIÁ CHỈ 750 TRIỆU !!!",Võ Thị Sáu,Nhơn Trạch,Đồng Nai,60 m²,750 triệu,Sổ đỏ/ Sổ hồng,,,30/09/2024,"- Vị trí: Mặt tiền đường Võ Thị Sáu ,Phú Đông, Nhơn Trạch, Đồng Nai",https://batdongsan.vn/duy-nhat-1-can-mat-tien-vo-thi-sau-5mx12m-gia-chi-750-trieu-r120917
120920,NHÀ VƯƠNG THỪA VŨ 50m2-7T-THANG MÁY-GARA Ô TÔ 7 CHỖ- GPXD ĐẦY ĐỦ- GIÁ CHÀO 17.6 Tỷ,Vương Thừa Vũ,Thanh Xuân,Hà Nội,50 m²,17 tỷ 600 triệu,Sổ đỏ/ Sổ hồng,9 phòng,,30/09/2024,Thông tin mô tả:,https://batdongsan.vn/nha-vuong-thua-vu-50m2-7t-thang-may-gara-o-to-7-cho-gpxd-day-du-gia-chao-176-ty-r120920
120922,"BÁN NHÀ DƯƠNG QUẢNG HÀM CẦU GIẤY MẶT NGÕ Ô TÔ KINH DOANH SẦM UÁT 56M 20,8 TỶ",Dương Quảng Hàm,Cầu Giấy,Hà Nội,56 m²,20 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,30/09/2024,MẶT NGÕ Ô TÔ - THÔNG THIÊN CÁC NGẢ - KINH DOANH SẦM UẤT - NHÀ ĐẸP DÂN XÂY - SỔ ĐỎ HOA KHÔI,https://batdongsan.vn/ban-nha-duong-quang-ham-cau-giay-mat-ngo-o-to-kinh-doanh-sam-uat-56m-208-ty-r120922
120921,"Gấp bán nhà Đường Trường Sơn, Đà Nẵng. Giá yêu thường 3.9 tỷ",Trường Sơn,Cẩm Lệ,Đà Nẵng,55 m²,3 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,30/09/2024,"Chủ gấp bán nhà 3 tầng, Đường 33m trường Sơn Đà Nẵng.",https://batdongsan.vn/gap-ban-nha-duong-truong-son-da-nang-gia-yeu-thuong-39-ty-r120921
120923,MẶT TIỀN QUẬN 12 – TÔ KÝ QUANG TRUNG - ĐƯỜNG RỘNG 20M VỈA HÈ 13M (5.2X20),Tô Ký,Quận 12,Hồ Chí Minh,104 m²,23 tỷ,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,30/09/2024,HÀNG VIP HOT,https://batdongsan.vn/mat-tien-quan-12-to-ky-quang-trung-duong-rong-20m-via-he-13m-52x20-r120923
120924,Gần Công Viên Làng Hoa - HXH - (4.1 x 13)m - BTCT 2 Tầng,Nguyễn Văn Khối,Gò Vấp,Hồ Chí Minh,54 m²,5 tỷ 350 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,30/09/2024,"- Vị trí :  Nguyễn Văn Khối - P.11 - Gò Vấp , HCM.",https://batdongsan.vn/gan-cong-vien-lang-hoa-hxh-41-x-13m-btct-2-tang-r120924
120928,"Bán nhà đẹp Quan Nhân, Ô TÔ, LÔ GÓC, 2 THOÁNG, 24m2, 4 tầng, hơn 5 tỷ",Quan Nhân,Thanh Xuân,Hà Nội,21 m²,5 tỷ 450 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,30/09/2024,"Bán nhà đẹp Quan Nhân, Ô TÔ vào, 24m2, 4 tầng, hơn 5 tỷ",https://batdongsan.vn/ban-nha-dep-quan-nhan-o-to-lo-goc-2-thoang-24m2-4-tang-hon-5-ty-r120928
120932,BÁN NHÀ MẶT TIỀN NGUYỄN VĂN THƯƠNG - QUẬN BÌNH THẠNH – THU NHẬP 125TR/ THÁNG,Nguyễn Văn Thương,Bình Thạnh,Hồ Chí Minh,93 m²,31 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,16 phòng,18 phòng,30/09/2024,"Vị trí nhộn nhịp, sầm uất, khu dân cư đông thích hợp mua bán, kinh doanh , Spa, Tóc làm đẹp",https://batdongsan.vn/ban-nha-mat-tien-nguyen-van-thuong-quan-binh-thanh-thu-nhap-125tr-thang-r120932
120925,"Bán nhà đẹp Bùi Xương Trạch, 31/33m2, 4 tầng, 3m mặt tiền, chỉ hơn 5 tỷ",Bùi Xương Trạch,Thanh Xuân,Hà Nội,31 m²,5 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,5 phòng,3 phòng,30/09/2024,"Bán nhà đẹp Bùi Xương Trạch, 31/33m2, 4 tầng, 3m mặt tiền, chỉ hơn 5 tỷ",https://batdongsan.vn/ban-nha-dep-bui-xuong-trach-3133m2-4-tang-3m-mat-tien-chi-hon-5-ty-r120925
120933,MP ĐÔNG NGẠC - VIEW SÔNG THOÁNG MÁT - GIÁ CỰC ĐẦU TƯ - TƯƠNG LAI SÁNG NGỜI,Đông Ngạc,Bắc Từ Liêm,Hà Nội,85 m²,10 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,,,30/09/2024,"Nhà em bán tại MP ĐÔNG NGẠC,Ô TÔ DỪNG ĐỖ , KINH DOANH TỐT",https://batdongsan.vn/mp-dong-ngac-view-song-thoang-mat-gia-cuc-dau-tu-tuong-lai-sang-ngoi-r120933
120935,BÁN NHÀ PHỐ THÁI HÀ TRUNG TÂM QUẬN ĐỐNG ĐA 7 TẦNG THANG MÁY KINH DOANH 30 TỶ,Thái Hà,Đống Đa,Hà Nội,51 m²,30 tỷ,Sổ đỏ/ Sổ hồng,10 phòng,11 phòng,30/09/2024,TRUNG TÂM QUẬN ĐỐNG ĐA - PHỐ THÁI HÀ - 7 TẦNG THANG MÁY - NGÕ Ô TÔ TRÁNH - GẦN PHỐ - NHÀ ĐẸP - KINH DOANH,https://batdongsan.vn/ban-nha-pho-thai-ha-trung-tam-quan-dong-da-7-tang-thang-may-kinh-doanh-30-ty-r120935
120936,MẶT TIỀN KINH DOANH - ĐƯỜNG LIÊN KHU 8-9 - 36M2 - 2 TẦNG 2PN - GIÁ CHỈ 3.95 TỶ,Liên Khu 8-9,Bình Tân,Hồ Chí Minh,36 m²,3 tỷ 950 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,30/09/2024,- DT: 4m x 9m,https://batdongsan.vn/mat-tien-kinh-doanh-duong-lien-khu-8-9-36m2-2-tang-2pn-gia-chi-395-ty-r120936
120939,"CỰC HIẾM Ở VĂN CAO  6 TẦNG - 20M RA MẶT PHỐ - 2 THOÁNG - 20M2 - 4,7 TỶ - NGÕ ÍT NHÀ  KHU VỰC CAO",Văn Cao,Ba Đình,Hà Nội,19 m²,4 tỷ 700 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,30/09/2024,"CỰC HIẾM Ở VĂN CAO  6 TẦNG - 20M RA MẶT PHỐ - 2 THOÁNG - 20M2 - 4,7 TỶ - NGÕ ÍT NHÀ  KHU VỰC CAO CẤP - NHÀ ĐẸP Ở LUÔN - DÂN XÂY CHẮC NỊCH-DÂN TRÍ CAO",https://batdongsan.vn/cuc-hiem-o-van-cao-6-tang-20m-ra-mat-pho-2-thoang-20m2-47-ty-ngo-it-nha-khu-vuc-cao-r120939
120940,"Bán nhà HXH tặng nội thất nhà 2 TBTCT 2PN, 2WC 49m2 Gò Dầu Q. Tân Phú, nhỉnh 4 tỷ",Gò Dầu,Tân Phú,Hồ Chí Minh,48 m²,4 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,30/09/2024,Quận Tân Phú_ Chỉ Hơn 4 Tỷ.,https://batdongsan.vn/ban-nha-hxh-tang-noi-that-nha-2-tbtct-2pn-2wc-49m2-go-dau-q-tan-phu-nhinh-4-ty-r120940
120941,Bán Nhà Mặt Tiền 5m x 18m Chợ Hạnh Thông Tây Gò Vấp 3 lầu 4 phòng ngủ 9 tỷ chốt Giá cực tốt,Nguyễn Oanh,Gò Vấp,Hồ Chí Minh,270 m²,9 tỷ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,30/09/2024,Vị trí: đường 12m2 xe hơi tung tăng.,https://batdongsan.vn/ban-nha-mat-tien-5m-x-18m-cho-hanh-thong-tay-go-vap-3-lau-4-phong-ngu-9-ty-chot-gia-cuc-tot-r120941
120947,BÁN KHÁCH SẠN ĐƯỜNG CỬU LONG - DÒNG TIỀN 175TR/ TH - QUẬN TÂN BÌNH,Cửu Long,Tân Bình,Hồ Chí Minh,162 m²,60 tỷ,Sổ đỏ/ Sổ hồng,35 phòng,35 phòng,30/09/2024,"Khách sạn đường Cửu Long, Phường 2, Quận Tân Bình",https://batdongsan.vn/ban-khach-san-duong-cuu-long-dong-tien-175tr-th-quan-tan-binh-r120947
120948,"Chủ nhà cần bán để mua nhà to hơn, Ô tô đỗ cổng, ngõ thông các ngả, 30 m2 giá 5,35 tỷ",Ngõ 99 Định Công Hạ Hoàng Mai Hà Nội,Hoàng Mai,Hà Nội,30 m²,5 tỷ 350 triệu,Sổ đỏ/ Sổ hồng,,,30/09/2024,"+ Nhà Định Công Hạ 30 m2,  5 tầng, mặt tiền 3,2m giá chào 5,35 tỷ",https://batdongsan.vn/chu-nha-can-ban-de-mua-nha-to-hon-o-to-do-cong-ngo-thong-cac-nga-30-m2-gia-535-ty-r120948
120949,Bán Gấp Căn Nhà Siêu Hiếm Đường Hẻm Nhựa 6.5m Sát Mặt Tiền Đường Huỳnh Tấn Phát,Nguyễn Thị Thập,Quận 7,Hồ Chí Minh,46 m²,6 tỷ 700 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,30/09/2024,"Hẻm xe hơi - trải nhựa rộng 6m- Khu vực Kinh Doanh buôn bán sầm uất- cách mặt tiền Nguyễn Thị Thập 50mMô tả: Ngang 3.85 Nở hậu 4m dài 12m* Hiện Trạng: 1 trệt 1 lầu , sân đậu xe, pk, bếp,3pn,2wc* Vị trí : cách đường Nguyễn Thị Thập 50m, xung quanh kinh doanh thức ăn, quán cf, Khách sạn…* Tiện ích 1km không thiếu gì* Sổ hồng riêng, pháp Lý Chuẩn",https://batdongsan.vn/ban-gap-can-nha-sieu-hiem-duong-hem-nhua-65m-sat-mat-tien-duong-huynh-tan-phat-r120949
120950,"BÁN NHÀ KHƯƠNG HẠ THANH XUÂN NHÀ MỚI 2 THOÁNG VỊ TRÍ ĐẸP GIÁ 6,7 TỶ",Khương Hạ,Thanh Xuân,Hà Nội,38 m²,6 tỷ 700 triệu,Sổ đỏ/ Sổ hồng,3 phòng,5 phòng,30/09/2024,"- MỚI ĐẸP LONG LANH, VỊ TRÍ ĐỈNH, 30M RA OTO, 2 THOÁNG TRƯỚC SAU, TẶNG TOÀN BỘ NỘI THẤT XỊN, MUA Ở CỰC KÌ NGON",https://batdongsan.vn/ban-nha-khuong-ha-thanh-xuan-nha-moi-2-thoang-vi-tri-dep-gia-67-ty-r120950
120954,BÁN NHÀ  Q11 - HXH LÊ THỊ BẠCH CÁT - NGANG 4.2M: nhỉnh 3 tỷ- FULL NỘI THẤT. LH: 0933910039,Lê Thị Bạch Cát,Quận 11,Hồ Chí Minh,30 m²,3 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,30/09/2024,BÁN NHÀ - QUẬN 11 - HXH - LÊ THỊ BẠCH CÁT - NGANG 4.2M - Nhỉnh 3 tỷ - FULL NỘI THẤT. LH: 0933910039,https://batdongsan.vn/ban-nha-q11-hxh-le-thi-bach-cat-ngang-42m-nhinh-3-ty-full-noi-that-lh-0933910039-r120954
120955,Bán nhà Vạn Phúc - ô tô đỗ cửa- Ngõ nông- gần phố- 35m2 x 5 tầng,ngô quyền,Hà Đông,Hà Nội,35 m²,6 tỷ 350 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,30/09/2024,"nhà mới 5 tầng, diện tích 35m2, ô tô lui cửa, bãi ô tô đỗ cạnh nhà, cách mặt phố 30m",https://batdongsan.vn/ban-nha-van-phuc-o-to-do-cua-ngo-nong-gan-pho-35m2-x-5-tang-r120955
120837,Bán nhà phố HUỲNH THỊ ĐỒNG TTNB 80m* 4 Tầng Xe Hơi Thông Chỉ 8 tỷ,1979 huỳnh tấn phát,Nhà Bè,Hồ Chí Minh,80 m²,8 tỷ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,29/09/2024,Bán nhà phố HUỲNH THỊ ĐỒNG TTNB 80m* 4 Tầng Xe Hơi Thông Chỉ 8 tỷ,https://batdongsan.vn/ban-nha-pho-huynh-thi-dong-ttnb-80m-4-tang-xe-hoi-thong-chi-8-ty-r120837
120838,"Bán nhà HẺM XE HƠI, 4.5X14M, ngay NGUYỄN VĂN KHỐI, giá nhỉnh 4 tỷ",Nguyễn Văn Khối,Gò Vấp,Hồ Chí Minh,63 m²,4 tỷ 390 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,29/09/2024,"- Kết cấu: 1 trệt 2 lầu, 3 Phòng ngủ, 3WC",https://batdongsan.vn/ban-nha-hem-xe-hoi-45x14m-ngay-nguyen-van-khoi-gia-nhinh-4-ty-r120838
120839,"Bán nhà Yên Bệ, Kim Chung. Sau trường THPT Hoài Đức A. Ngõ thông Ôtô đỗ cửa. Nhà ở ngay",Ngõ 11,Hoài Đức,Hà Nội,31 m²,3 tỷ 950 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,29/09/2024,"Bán nhà Yên Bệ, Kim Chung. Sau trường THPT Hoài Đức A. Ngõ thông Ôtô đỗ cửa. Nhà ở ngay.",https://batdongsan.vn/ban-nha-yen-be-kim-chung-sau-truong-thpt-hoai-duc-a-ngo-thong-oto-do-cua-nha-o-ngay-r120839
120840,"CHÍNH CHỦ CẦN B.ÁN GẤP NHÀ THANH TRÌ 88m X 5 TẦNG, MT5.4M, GARA Ô  TÔ GIÁ CHỈ NHỈNH 8 TỶ",1,Thanh Trì,Hà Nội,88 m²,8 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,29/09/2024,"CHÍNH CHỦ CẦN B.ÁN GẤP NHÀ THANH TRÌ 88m X 5 TẦNG, MT5.4M, GARA Ô TÔ GI.Á NHỈNH 8 TỶ",https://batdongsan.vn/chinh-chu-can-ban-gap-nha-thanh-tri-88m-x-5-tang-mt54m-gara-o-to-gia-chi-nhinh-8-ty-r120840
120841,"Bán nhà hẻm 112 An Pú Đông 9, phường An Phú Đông, Q12",an phú đông 9,Quận 12,Hồ Chí Minh,461 m²,28 tỷ,Sổ đỏ/ Sổ hồng,10 phòng,10 phòng,29/09/2024,"Bán nhà hẻm 112 An Pú Đông 9, phường An Phú Đông, Q12",https://batdongsan.vn/ban-nha-hem-112-an-pu-dong-9-phuong-an-phu-dong-q12-r120841
120844,"Bán nhà Tân Lập, Đan Phượng 31m2. Cách 20m đến trục chính 422. Nhà hoàn thiện sẵn ở ngay",Ngõ 93,Đan Phượng,Hà Nội,31 m²,3 tỷ 700 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,29/09/2024,"Bán nhà Tân Lập, Đan Phượng 31m2. Cách 20m đến trục chính 422. Nhà hoàn thiện sẵn ở ngay.",https://batdongsan.vn/ban-nha-tan-lap-dan-phuong-31m2-cach-20m-den-truc-chinh-422-nha-hoan-thien-san-o-ngay-r120844
120845,"BÁN NHÀ CÓ 2 MẶT TIỀN TẠI ĐƯỜNG LÁNG THE, XÃ TÂN THẠNH TÂY, HUYỆN CỦ CHI, TP HCM, GIÁ LÀ 21 TỶ",Láng The,Củ Chi,Hồ Chí Minh,4200 m²,21 tỷ,Sổ đỏ/ Sổ hồng,,,29/09/2024,"Cần bán gấp 4200m², có 1800m² thổ cư, đất 2 mặt tiền trước và sau",https://batdongsan.vn/ban-nha-co-2-mat-tien-tai-duong-lang-the-xa-tan-thanh-tay-huyen-cu-chi-tp-hcm-gia-la-21-ty-r120845
120848,"Nhà (6.3X28) Mặt Tiền Quốc Lộ 22 - Trường Chinh nối dài ,Trung Mỹ Tây, Quận 12",Quốc Lộ 22,Quận 12,Hồ Chí Minh,177 m²,15 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,29/09/2024,"Nhà 2 Mặt Tiền Quốc Lộ 22 - Trường Chinh nối dài ,P.Trung Mỹ Tây, Quận 12 (Đối diện Argibank, bến xe An Sương)Diện tích: (6,3 x 28). Công nhận: 175m2",https://batdongsan.vn/nha-63x28-mat-tien-quoc-lo-22-truong-chinh-noi-dai-trung-my-tay-quan-12-r120848
120849,NHÀ PHƯỜNG 15 QUẬN 10 - MẶT TIỀN  - MỚI ĐẸP - 51M2 - LẦU ĐÚC - NHỈNH 6 TỶ,Tô Hiến Thành,Quận 10,Hồ Chí Minh,51 m²,6 tỷ 300 triệu,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,29/09/2024,Mô tả:,https://batdongsan.vn/nha-phuong-15-quan-10-mat-tien-moi-dep-51m2-lau-duc-nhinh-6-ty-r120849
120852,"Gần mặt tiền Đinh Bộ Lĩnh,p.26,Bình Thạnh, nhà nhỏ mới chỉ 2ty1 sổ riêng",Đinh Bộ Lĩnh,Bình Thạnh,Hồ Chí Minh,16 m²,2 tỷ 100 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,29/09/2024,"GẦN MẶT TIỀN - sử dụng 36M2 , tiện về quận 1, ngã tư Hàng Xanh🌺Hướng: Bắc ✅Mô tả: giao+ diện tích : 4.2 x 3.8 + Nhà 1 trệt 1 lầu xinh xắn, có ban công thoáng mát. 2 phòng ngủ nhỏ, 2 toilet+ Gần mặt tiền đường, qua Q1 chỉ 5 phút.,,+ Tiện gia đình nhỏ ở, vợ chồng mới cưới.+ Sổ hồng riêng vuông đét, hoàn công đầy đủ, pháp lý chuẩn, công chứng trong ngày.",https://batdongsan.vn/gan-mat-tien-dinh-bo-linhp26binh-thanh-nha-nho-moi-chi-2ty1-so-rieng-r120852
120853,"BÁN NHÀ HAI MẶT TIỀN ĐƯỜNG HIỆP NHẤT, PHƯỜNG 4, QUẬN TÂN BÌNH, TP HCM, GIÁ LÀ 22.5 TỶ",Hiệp Nhất,Tân Bình,Hồ Chí Minh,108 m²,22 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,,,29/09/2024,Bán nhà 2 Mặt Tiền đường Hiệp Nhất + HXH Hòa Hiệp (Chính Chủ Lâu Đời),https://batdongsan.vn/ban-nha-hai-mat-tien-duong-hiep-nhat-phuong-4-quan-tan-binh-tp-hcm-gia-la-225-ty-r120853
120854,"BÁN NHÀ MẶT TIỀN ĐƯỜNG NGUYỄN TẤT THÀNH, PHƯỜNG 18, QUẬN 4, TP HCM, GIÁ LÀ 21 TỶ",Nguyễn Tất Thành,Quận 4,Hồ Chí Minh,81 m²,21 tỷ,Sổ đỏ/ Sổ hồng,,,29/09/2024,"Chính chủ gấp bán giảm 500tr, nhà mặt tiền 81,5m² ngay Nguyễn Tất Thành, Quận 4, Xe hơi ngủ in nhà, nở hậu.",https://batdongsan.vn/ban-nha-mat-tien-duong-nguyen-tat-thanh-phuong-18-quan-4-tp-hcm-gia-la-21-ty-r120854
120855,NHÀ  QUẬN 10 - TÔ HIẾN THÀNH - 2 MẶT TIỀN -  51M2 - MỚI ĐẸP - NHỈNH 6 TỶ,Tô Hiến Thành,Quận 10,Hồ Chí Minh,51 m²,6 tỷ 300 triệu,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,29/09/2024,Mô tả:,https://batdongsan.vn/nha-quan-10-to-hien-thanh-2-mat-tien-51m2-moi-dep-nhinh-6-ty-r120855
